,from_station_name,tripduration
77,Canal St & Adams St,4672386.0
137,Clinton St & Washington Blvd,4115008.0
133,Clinton St & Madison St,2981995.0
80,Canal St & Madison St,2422323.0
139,Columbus Dr & Randolph St,2212286.0
283,Kingsbury St & Kinzie St,2170942.0
361,Michigan Ave & Washington St,2159714.0
308,Larrabee St & Kingsbury St,1889833.0
221,Franklin St & Monroe St,1747795.0
132,Clinton St & Lake St,1719880.0
290,LaSalle St & Jackson Blvd,1537042.0
176,Dearborn St & Monroe St,1515046.0
390,Orleans St & Merchandise Mart Plaza,1453255.0
175,Dearborn St & Erie St,1435256.0
153,Daley Center Plaza,1428410.0
475,St. Clair St & Erie St,1394547.0
357,Michigan Ave & Lake St,1393928.0
519,Wacker Dr & Washington St,1374480.0
219,Franklin St & Jackson Blvd,1334393.0
282,Kingsbury St & Erie St,1243563.0
